Organization Code,Orgnazation Name,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaiian or Other Pacific Islander,Two or More Races,Percent Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,All Students Completion Rate,Female Graduation Rate,Male Graduation Rate,Female Completion Rate,Male Completion Rate,Pupil/Teacher Ratio,T_Ind_F,T_Ind_M,T_Ind_T,T_As_F,T_As_M,T_As_T,T_Bl_F,T_Bl_M,T_Bl_T,T_Hi_F,T_Hi_M,T_Hi_T,T_Pac_F,T_Pac_M,T_Pac_T,T_Two_F,T_Two_M,T_Two_T,T_Whi_F,T_Whi_M,T_Whi_T,T_Total_Count,Total FTE,Average Salary,ap_American Indian or Alaska Native Count,ap_Asian Count,ap_Black or African American Count,ap_Hispanic or Latino Count,ap_White Count,ap_Native Hawaiian or Other Pacific Islander Count,ap_Two Or More Races Count,ap_Male Count,ap_Female Count,ap_Total Student Count
1330,GILPIN COUNTY RE-1,0,3,2,59,345,2,24,0.01,16,0.271,402,1,1,1,1,1,1,12.35,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,26,9,35,37,35.22,44529,0,0,0,7,18,0,0,12,13,25
1350,EAST GRAND 2,11,6,10,170,1010,9,27,0.01,16,0.327,1188,0.92,0.932,0.907,0.933,0.93,0.933,13.7425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,15,94,94,91.42,47391,0,3,0,3,158,4,6,64,110,174
1360,GUNNISON WATERSHED RE1J,7,9,16,320,1660,1,40,0.01,16,0.262,1975,0.947,0.947,0.952,0.944,0.952,0.944,41.32285714,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,102,34,136,138,131.67,45735,0,1,0,2,108,0,2,53,60,113
1380,HINSDALE COUNTY RE 1,5,0,1,3,93,1,8,0.01,16,0.385,96,0.909,0.909,1,0.833,1,0.833,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,12,11.06,45141,0,0,0,0,0,0,0,0,0,0
1390,HUERFANO RE-1,24,3,5,334,192,2,2,0.01,16,0.772,526,0.955,0.955,0.857,1,0.857,1,14.72,0,0,0,0,0,0,0,0,0,4,1,5,0,1,1,0,0,0,22,9,31,37,36.82,36781,0,0,0,0,0,0,0,0,0,0
1400,LA VETA RE-2,1,0,1,57,161,0,0,0.01,16,0.593,214,0.938,0.938,1,0.875,1,0.875,10.625,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,14,6,20,23,20.65,40460,0,0,0,0,0,0,0,0,0,0
1420,JEFFERSON COUNTY R-1,527,2693,1019,21154,57631,140,3183,0.01,16,0.326,83422,0.828,0.845,0.872,0.787,0.884,0.808,18.28656442,15,11,26,28,12,40,2,7,9,231,61,292,5,1,6,59,14,73,"3,333","1,120","4,453","4,899",4734.32,55435,37,652,75,1754,9272,8,405,5441,6762,12203
1430,EADS RE-1,0,0,2,24,166,0,0,0.01,16,0.381,176,0.923,1,1,0.889,1,1,11.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,19,19,17.32,36344,0,0,0,0,0,0,0,0,0,0
1440,PLAINVIEW RE-2,1,0,2,1,55,0,4,0.01,16,0.603,58,1,1,0,1,0,1,7.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9,9,8.25,32273,0,0,0,0,0,0,0,0,0,0
1450,ARRIBA-FLAGLER C-20,0,1,0,21,173,0,3,0.01,16,0.555,173,0.8,0.8,0.833,0.778,0.833,0.778,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,19,19,17.82,37737,0,0,0,0,0,0,0,0,0,0
1460,HI-PLAINS R-23,5,1,3,16,79,0,0,0.01,16,0.522,90,1,1,1,1,1,1,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,17,17,16.95,35221,0,0,0,0,0,0,0,0,0,0
1480,STRATTON R-4,5,0,0,43,164,0,1,0.01,16,0.563,190,0.929,0.929,0.9,1,0.9,1,10.56666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,5,18,19,18.65,33637,0,0,0,0,0,0,0,0,0,0
1490,BETHUNE R-5,0,2,0,36,69,1,2,0.01,16,0.788,104,0.714,0.714,0.5,1,0.5,1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,17,13.26,41100,0,0,0,0,0,0,0,0,0,0
1500,BURLINGTON RE-6J,9,11,8,313,427,0,7,0.01,16,0.578,716,0.75,0.75,0.71,0.793,0.71,0.793,14.98333333,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,2,0,2,32,14,46,51,51.12,34505,0,0,0,0,0,0,0,0,0,0
1510,LAKE COUNTY R-1,4,2,3,732,281,1,10,0.01,16,0.672,931,0.667,0.681,0.789,0.529,0.789,0.559,37.9275,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,39,18,57,60,58.19,39859,0,0,0,0,0,0,0,0,0,0
1520,DURANGO 9-R,223,37,39,991,3575,3,185,0.01,16,0.332,4895,0.802,0.842,0.871,0.738,0.894,0.794,26.28461538,5,2,7,4,0,4,0,1,1,10,6,16,0,0,0,0,1,1,253,78,331,360,354.46,46518,18,2,1,50,535,0,15,297,324,621
1530,BAYFIELD 10 JT-R,33,13,5,206,1074,2,48,0.01,16,0.266,1340,0.831,0.883,0.861,0.805,0.889,0.878,14.58333333,1,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,62,29,91,96,94.53,46574,2,0,0,9,50,0,0,27,34,61
1540,IGNACIO 11 JT,222,8,4,303,283,3,46,0.01,16,0.577,869,0.754,0.825,0.786,0.724,0.857,0.793,12.48666667,1,0,1,0,0,0,0,0,0,6,4,10,0,0,0,1,1,2,41,16,57,70,69.54,41236,5,0,0,9,8,0,2,7,17,24
1550,POUDRE R-1,147,900,340,5280,21896,51,1068,0.01,16,0.29,28832,0.814,0.831,0.839,0.791,0.855,0.81,17.30134615,2,3,5,11,4,15,4,2,6,71,26,97,0,0,0,4,2,6,"1,279",427,"1,706","1,835",1738.43,53108,11,329,40,271,3267,13,170,1904,2197,4101
1560,THOMPSON R2-J,80,194,181,3323,12010,17,475,0.01,16,0.392,15708,0.794,0.811,0.832,0.756,0.853,0.77,17.346,3,1,4,6,1,7,0,0,0,28,10,38,0,0,0,0,0,0,651,244,895,944,901.41,49061,5,45,15,216,1636,1,51,891,1078,1969
1570,ESTES PARK R-3,6,26,9,288,808,3,13,0.01,16,0.405,1114,0.924,0.924,0.903,0.938,0.903,0.938,16.435,0,0,0,0,0,0,0,0,0,3,1,4,1,0,1,1,0,1,51,28,79,85,78.33,47884,0,4,0,9,75,0,2,45,45,90
1580,TRINIDAD 1,7,5,13,764,239,1,11,0.01,16,0.75,1040,0.862,0.914,0.931,0.793,0.931,0.897,15.935,0,0,0,0,0,0,0,0,0,15,2,17,10,7,17,3,0,3,21,7,28,65,65.01,45184,0,0,0,0,0,0,0,0,0,0
1590,PRIMERO REORGANIZED 2,7,1,1,67,118,0,4,0.01,16,0.607,183,0.889,1,0.833,1,1,1,10.36,1,0,1,1,0,1,0,0,0,7,2,9,0,0,0,0,0,0,8,3,11,22,20.25,40648,0,0,0,0,0,0,0,0,0,0
