Organization Code,Orgnazation Name,Student Pct Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,Female Graduation Rate,Male Graduation Rate,Pupil/Teacher Ratio,Teacher Pct Minority,Teacher Count,Total FTE,Average Salary,Female AP Enrollment,Male AP Enrollment,Total AP Enrollment
900,DOUGLAS COUNTY RE 1,0.01,16,0.11900000000000001,65628,0.9009999999999999,0.929,0.875,20.28956043956044,0.020141843971631213,3525,3424.69,52044.0,5045,3754,8799
910,EAGLE COUNTY RE 50,0.01,16,0.41100000000000003,6628,0.794,0.855,0.731,16.02166666666667,0.09894736842105267,475,451.04,48036.0,578,476,1054
920,ELIZABETH C-1,0.01,16,0.17800000000000002,2399,0.867,0.924,0.813,50.686249999999994,0.02580645161290318,155,146.97,39258.0,93,65,158
930,KIOWA C-2,0.01,16,0.39299999999999996,257,1.0,1.0,1.0,13.693333333333333,0.0,21,20.4,35138.0,14,8,22
940,BIG SANDY 100J,0.01,16,0.4,280,0.905,1.0,0.867,11.893333333333333,0.03448275862068961,29,25.22,41006.0,0,0,0
950,ELBERT 200,0.01,16,0.29,200,1.0,1.0,1.0,9.76,0.09090909090909094,22,21.61,35356.0,0,0,0
970,CALHAN RJ-1,0.01,16,0.486,424,0.912,1.0,0.8,15.956666666666669,0.06451612903225812,31,28.22,40291.0,44,27,71
980,HARRISON 2,0.01,16,0.7609999999999999,11746,0.797,0.863,0.73,16.755,0.14933333333333332,750,746.62,42560.0,287,173,460
990,WIDEFIELD 3,0.01,16,0.47,9181,0.8009999999999999,0.835,0.768,19.41875,0.10486891385767794,534,528.37,44694.0,509,394,903
1000,FOUNTAIN 8,0.01,16,0.511,7826,0.879,0.899,0.862,17.189230769230768,0.16297786720321927,497,495.31,48098.0,368,223,591
1010,COLORADO SPRINGS 11,0.01,16,0.601,27245,0.6970000000000001,0.763,0.64,16.58107142857143,0.14074512123004135,1691,1655.58,48305.0,908,761,1669
1020,CHEYENNE MOUNTAIN 12,0.01,16,0.14400000000000002,5077,0.934,0.93,0.938,15.518181818181818,0.062146892655367214,354,353.02,44458.0,649,498,1147
1030,MANITOU SPRINGS 14,0.01,16,0.248,1446,0.937,0.93,0.945,14.079999999999998,0.037735849056603765,106,103.4,43985.0,0,0,0
1040,ACADEMY 20,0.01,16,0.135,25218,0.903,0.9229999999999999,0.883,17.307499999999997,0.09355246523388117,1582,1498.12,48066.0,1839,1518,3357
1050,ELLICOTT 22,0.01,16,0.674,957,0.7879999999999999,0.81,0.774,13.74,0.10810810810810811,74,73.73,38782.0,0,0,0
1060,PEYTON 23 JT,0.01,16,0.214,632,0.75,0.955,0.667,12.134,0.02083333333333337,48,47.68,37194.0,0,0,0
1070,HANOVER 28,0.01,16,0.743,249,0.8240000000000001,1.0,0.75,14.129999999999999,0.11111111111111116,18,18.0,39333.0,0,0,0
1080,LEWIS-PALMER 38,0.01,16,0.08800000000000001,6324,0.948,0.9670000000000001,0.93,18.32888888888889,0.057065217391304324,368,346.59,45956.0,782,706,1488
1110,FALCON 49,0.01,16,0.311,20505,0.606,0.623,0.5870000000000001,18.42,0.10338164251207727,1035,1037.85,42567.0,195,105,300
1120,EDISON 54 JT,0.01,16,0.41,222,0.68,0.583,0.769,30.169999999999998,0.0,15,13.93,36579.0,0,0,0
1130,MIAMI/YODER 60 JT,0.01,16,0.513,275,0.7859999999999999,0.875,0.667,14.19,0.045454545454545414,22,21.94,37716.0,0,0,0
1140,CANON CITY RE-1,0.01,16,0.505,3626,0.785,0.8170000000000001,0.752,16.842222222222222,0.030303030303030276,231,228.23,46110.0,0,0,0
