Organization Code,Orgnazation Name,Student Pct Minority,Year,% FREE AND REDUCED,K-12 COUNT,All Students Graduation Rate,Female Graduation Rate,Male Graduation Rate,Pupil/Teacher Ratio,Teacher Pct Minority,Teacher Count,Total FTE,Average Salary
220,ARCHULETA COUNTY 50 JT,0.43799999999999994,17,0.52,1660,0.8420000000000001,0.9,0.778,15.770000000000001,0.11538461538461542,104,99.59,42690.0
230,WALSH RE-1,0.20199999999999999,17,0.6,141,1.0,1.0,1.0,10.254999999999999,0.0,17,15.88,38349.0
250,SPRINGFIELD RE-4,0.261,17,0.66,295,0.846,0.833,0.857,11.675,0.07407407407407407,27,28.36,34781.0
290,LAS ANIMAS RE-1,0.632,17,0.88,1687,0.662,0.6629999999999999,0.662,43.86833333333333,0.1707317073170732,41,42.24,37128.0
310,MC CLAVE RE-2,0.031,17,0.54,239,0.9259999999999999,0.889,0.9440000000000001,12.254999999999999,0.04166666666666663,24,20.73,36784.0
470,ST VRAIN VALLEY RE 1J,0.36700000000000005,17,0.31,30970,0.836,0.873,0.8,20.45901960784314,0.06728160607704825,1843,1783.45,55320.0
480,BOULDER VALLEY RE 2,0.311,17,0.19,30391,0.9129999999999999,0.93,0.897,17.397543859649126,0.12114771519659939,1882,1716.89,75220.0
490,BUENA VISTA R-31,0.161,17,0.34,971,0.877,0.892,0.861,12.712500000000002,0.038461538461538436,78,73.94,43504.0
500,SALIDA R-32,0.20199999999999999,17,0.4,1196,0.7659999999999999,0.805,0.736,12.116666666666667,0.08421052631578951,95,92.22,42470.0
510,KIT CARSON R-1,0.22899999999999998,17,0.5,100,0.8,1.0,0.75,7.25,0.05555555555555558,18,15.06,40289.0
520,CHEYENNE COUNTY RE-5,0.10099999999999999,17,0.52,165,0.941,1.0,0.9,10.205,0.05555555555555558,18,17.25,42032.0
540,CLEAR CREEK RE-1,0.175,17,0.27,737,0.81,0.941,0.625,15.358,0.06896551724137934,58,57.06,42694.0
550,NORTH CONEJOS RE-1J,0.564,17,0.7,1028,0.883,0.914,0.857,15.384,0.23611111111111116,72,70.7,42221.0
560,SANFORD 6J,0.325,17,0.54,346,1.0,1.0,1.0,14.3,0.11111111111111116,27,25.35,42212.0
580,SOUTH CONEJOS RE-10,0.961,17,0.64,181,0.727,0.8,0.667,9.39,0.6363636363636364,22,18.5,40631.0
640,CENTENNIAL R-1,0.9670000000000001,17,0.92,196,0.8,0.75,0.833,10.29,0.4285714285714286,21,20.31,38505.0
740,SIERRA GRANDE R-30,0.7879999999999999,17,0.85,264,1.0,1.0,1.0,13.09,0.5384615384615384,26,22.0,38889.0
770,CROWLEY COUNTY RE-1-J,0.609,17,0.53,440,0.828,0.8,0.857,14.085,0.0625,32,31.17,35893.0
860,CUSTER COUNTY SCHOOL DISTRICT C-1,0.076,17,0.52,371,0.87,0.929,0.778,14.983333333333334,0.03703703703703709,27,25.65,38436.0
870,DELTA COUNTY 50(J),0.27699999999999997,17,0.54,4735,0.88,0.8759999999999999,0.884,26.70277777777778,0.06756756756756754,296,282.83,44401.0
880,DENVER COUNTY 1,0.759,17,0.67,86863,0.6659999999999999,0.7240000000000001,0.61,15.023043478260872,0.25779395473967404,6319,6109.71,50757.0
890,DOLORES COUNTY RE NO.2,0.092,17,0.56,225,0.818,0.8,0.833,11.306666666666667,0.0,20,19.46,40632.0
900,DOUGLAS COUNTY RE 1,0.264,17,0.12,65786,0.904,0.9279999999999999,0.8809999999999999,20.130333333333333,0.061745334796926454,3644,3526.56,53080.0
910,EAGLE COUNTY RE 50,0.5539999999999999,17,0.36,6663,0.708,0.743,0.6809999999999999,15.113,0.10399999999999998,500,469.98,47917.0
920,ELIZABETH C-1,0.145,17,0.18,2335,0.8390000000000001,0.8859999999999999,0.7979999999999999,52.04375,0.03164556962025311,158,143.93,40471.0
930,KIOWA C-2,0.16699999999999998,17,0.37,240,1.0,1.0,1.0,12.12,0.0,23,21.75,34597.0
940,BIG SANDY 100J,0.146,17,0.4,296,0.833,0.9,0.7859999999999999,12.053333333333335,0.03448275862068961,29,26.02,40382.0
