County Code,County Name,Distr Code,Distr Name,Sch Code,School Name,PK-12 Count,Teacher FTE,Pupil/ Teacher FTE Ratio
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,8382,SUMMIT VIEW ELEMENTARY SCHOOL,529,28.5,18.56
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,8847,THUNDERRIDGE HIGH SCHOOL,2070,103.6689,19.97
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,8853,TIMBER TRAIL ELEMENTARY SCHOOL,423,24.5,17.27
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,8897,TRAILBLAZER ELEMENTARY SCHOOL,418,24.7,16.92
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,9397,WORLD  COMPASS ACADEMY,596,34.0007,17.53
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,9592,WILDCAT MOUNTAIN ELEMENTARY SCHOOL,581,32.5,17.88
19,EAGLE,0910,EAGLE COUNTY RE 50,0037,RED HILL ELEMENTARY SCHOOL,401,28.1589,14.24
19,EAGLE,0910,EAGLE COUNTY RE 50,0038,BRUSH CREEK ELEMENTARY SCHOOL,420,29.8507,14.07
19,EAGLE,0910,EAGLE COUNTY RE 50,0039,GYPSUM CREEK MIDDLE SCHOOL,391,26.97,14.50
19,EAGLE,0910,EAGLE COUNTY RE 50,0205,RED CANYON HIGH SCHOOL,168,11.9535,14.05
19,EAGLE,0910,EAGLE COUNTY RE 50,0471,AVON ELEMENTARY SCHOOL,290,21.9325,13.22
19,EAGLE,0910,EAGLE COUNTY RE 50,0604,BATTLE MOUNTAIN HIGH SCHOOL,954,50.8672,18.75
19,EAGLE,0910,EAGLE COUNTY RE 50,0793,BERRY CREEK MIDDLE SCHOOL,303,23.9502,12.65
19,EAGLE,0910,EAGLE COUNTY RE 50,0861,BATTLE MOUNTAIN EARLY COLLEGE HIGH SCHOOL,18,1,18.00
19,EAGLE,0910,EAGLE COUNTY RE 50,2340,EAGLE COUNTY CHARTER ACADEMY,348,22.7133,15.32
19,EAGLE,0910,EAGLE COUNTY RE 50,2346,EAGLE VALLEY ELEMENTARY SCHOOL,400,30.0204,13.32
19,EAGLE,0910,EAGLE COUNTY RE 50,2350,EAGLE VALLEY HIGH SCHOOL,929,50.8105,18.28
19,EAGLE,0910,EAGLE COUNTY RE 50,2355,EAGLE VALLEY MIDDLE SCHOOL,337,19.2668,17.49
19,EAGLE,0910,EAGLE COUNTY RE 50,2530,EDWARDS ELEMENTARY SCHOOL,302,21.1347,14.29
19,EAGLE,0910,EAGLE COUNTY RE 50,2643,EAGLE VALLEY EARLY COLLEGE HIGH SCHOOL,15,1.0055,14.92
19,EAGLE,0910,EAGLE COUNTY RE 50,3710,GYPSUM ELEMENTARY SCHOOL,346,24.1325,14.34
19,EAGLE,0910,EAGLE COUNTY RE 50,4838,JUNE CREEK ELEMENTARY SCHOOL,271,27.8068,9.75
19,EAGLE,0910,EAGLE COUNTY RE 50,5742,HOMESTAKE PEAK SCHOOL,589,43.9081,13.41
19,EAGLE,0910,EAGLE COUNTY RE 50,7296,RED SANDSTONE ELEMENTARY SCHOOL,222,20.8034,10.67
19,EAGLE,0910,EAGLE COUNTY RE 50,9061,VAIL SKI AND SNOWBOARD ACADEMY (VSSA),189,12.0659,15.66
19,EAGLE,0910,EAGLE COUNTY RE 50,9701,WORLD ACADEMY,38,1.5,25.33
20,ELBERT,0920,ELIZABETH C-1,2572,LEGACY ACADEMY,469,24.1674,19.41
20,ELBERT,0920,ELIZABETH C-1,2604,ELIZABETH MIDDLE SCHOOL,430,27.386,15.70
20,ELBERT,0920,ELIZABETH C-1,2608,ELIZABETH HIGH SCHOOL,676,40.7307,16.60
20,ELBERT,0920,ELIZABETH C-1,3236,FRONTIER HIGH SCHOOL,55,4.625,11.89
20,ELBERT,0920,ELIZABETH C-1,7300,ELIZABETH RUNNING CREEK PRESCHOOL,63,0.4375,144.00
20,ELBERT,0920,ELIZABETH C-1,7517,RUNNING CREEK ELEMENTARY SCHOOL,313,22.2088,14.09
20,ELBERT,0920,ELIZABETH C-1,7924,SINGING HILLS PRESCHOOL,78,0.4375,178.29
20,ELBERT,0920,ELIZABETH C-1,7925,SINGING HILLS ELEMENTARY SCHOOL,392,23.9396,16.37
20,ELBERT,0930,KIOWA C-2,4724,KIOWA ELEMENTARY SCHOOL,122,7.8194,15.60
20,ELBERT,0930,KIOWA C-2,4726,KIOWA MIDDLE SCHOOL,73,5.9792,12.21
20,ELBERT,0930,KIOWA C-2,4728,KIOWA HIGH SCHOOL,68,7.9514,8.55
