School Year,Organization Code,Orgnazation Name,Total FTE,Average Salary
2017-2018,3010,CRIPPLE CREEK-VICTOR RE-1,28.24,"38,094"
2017-2018,3020,WOODLAND PARK RE-2,142.69,"44,423"
2017-2018,3030,AKRON R-1,32.52,"34,172"
2017-2018,3040,ARICKAREE R-2,13.35,"35,695"
2017-2018,3050,OTIS R-3,18.49,"37,424"
2017-2018,3060,LONE STAR 101,17.89,"30,650"
2017-2018,3070,WOODLIN R-104,11.03,"29,356"
2017-2018,3080,WELD COUNTY RE-1,137.72,"44,672"
2017-2018,3085,EATON RE-2,115.13,"46,537"
2017-2018,3090,WELD COUNTY SCHOOL DISTRICT RE-3J,146.22,"44,202"
2017-2018,3100,WINDSOR RE-4,351.47,"49,436"
2017-2018,3110,JOHNSTOWN-MILLIKEN RE-5J,194.46,"51,853"
2017-2018,3120,GREELEY 6,"1,228.08","51,592"
2017-2018,3130,PLATTE VALLEY RE-7,81.50,"49,671"
2017-2018,3140,WELD COUNTY S/D RE-8,141.68,"47,760"
2017-2018,3145,AULT-HIGHLAND RE-9,62.51,"40,727"
2017-2018,3146,BRIGGSDALE RE-10,18.92,"41,606"
2017-2018,3147,PRAIRIE RE-11,17.29,"43,544"
2017-2018,3148,PAWNEE RE-12,16.86,"32,637"
2017-2018,3200,YUMA 1,64.21,"43,328"
2017-2018,3210,WRAY RD-2,53.82,"39,215"
2017-2018,3220,IDALIA RJ-3,16.14,"41,745"
2017-2018,3230,LIBERTY J-4,10.14,"36,723"
2017-2018,8001,CHARTER SCHOOL INSTITUTE,906.98,"41,417"
2017-2018,9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,36.77,"51,589"
2017-2018,9025,EAST CENTRAL BOCES,7.86,"50,663"
2017-2018,9030,MOUNTAIN BOCES,0.65,"76,240"
2017-2018,9035,CENTENNIAL BOCES,19.11,"33,418"
2017-2018,9040,NORTHEAST BOCES,2.58,"64,229"
2017-2018,9045,PIKES PEAK BOCES,20.56,"40,425"
2017-2018,9050,SAN JUAN BOCES,4.00,"56,605"
2017-2018,9055,SAN LUIS VALLEY BOCES,14.73,"35,397"
2017-2018,9060,SOUTH CENTRAL BOCES,4.50,"36,649"
2017-2018,9075,SOUTHEASTERN BOCES,0.99,"35,255"
2017-2018,9125,RIO BLANCO BOCES,5.95,"48,136"
2017-2018,9130,EXPEDITIONARY BOCES,29.29,"39,108"
2017-2018,9145,UNCOMPAHGRE BOCES,0.64,"84,185"
2017-2018,9150,SANTA FE TRAIL BOCES,3.70,"39,290"
2017-2018,9165,UTE PASS BOCES,1.94,"73,174"
2017-2018,9170,COLORADO DIGITAL BOCES,61.50,"40,643"
2017-2018,9175,COLORADO RIVER BOCES,14.02,"44,118"
2017-2018 Total,,,"52,347.07","52,728"
