County Code,County Name,Organization Code,Orgnazation Name,Total FTE,Average Salary
14,CUSTER,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,32.09,"36,633.67"
15,DELTA,0870,DELTA COUNTY 50(J),284.48,"41,348.31"
16,DENVER,0880,DENVER COUNTY 1,"6,009.29","50,247.36"
17,DOLORES,0890,DOLORES COUNTY RE NO.2,22.02,"38,218.86"
18,DOUGLAS,0900,DOUGLAS COUNTY RE 1,"3,362.11","51,274.18"
19,EAGLE,0910,EAGLE COUNTY RE 50,439.08,"49,060.76"
20,ELBERT,0920,ELIZABETH C-1,146.75,"38,419.24"
20,ELBERT,0930,KIOWA C-2,21.16,"33,715.33"
20,ELBERT,0940,BIG SANDY 100J,26.18,"39,278.37"
20,ELBERT,0950,ELBERT 200,20.40,"39,477.79"
20,ELBERT,0960,AGATE 300,2.97,"24,699.07"
21,EL PASO,0970,CALHAN RJ-1,28.73,"47,444.21"
21,EL PASO,0980,HARRISON 2,732.65,"42,248.88"
21,EL PASO,0990,WIDEFIELD 3,526.10,"44,918.99"
21,EL PASO,1000,FOUNTAIN 8,506.16,"48,090.47"
21,EL PASO,1010,COLORADO SPRINGS 11,"1,641.57","48,023.75"
21,EL PASO,1020,CHEYENNE MOUNTAIN 12,350.82,"44,267.55"
21,EL PASO,1030,MANITOU SPRINGS 14,101.40,"41,284.34"
21,EL PASO,1040,ACADEMY 20,"1,484.28","47,511.75"
21,EL PASO,1050,ELLICOTT 22,75.24,"39,813.88"
21,EL PASO,1060,PEYTON 23 JT,42.43,"39,412.78"
21,EL PASO,1070,HANOVER 28,20.15,"38,895.84"
21,EL PASO,1080,LEWIS-PALMER 38,353.36,"45,929.44"
21,EL PASO,1110,FALCON 49,932.57,"42,534.44"
21,EL PASO,1120,EDISON 54 JT,12.10,"37,534.14"
21,EL PASO,1130,MIAMI/YODER 60 JT,20.86,"35,689.14"
22,FREMONT,1140,CANON CITY RE-1,227.23,"46,679.47"
22,FREMONT,1150,FREMONT RE-2,94.83,"41,396.11"
22,FREMONT,1160,COTOPAXI RE-3,19.94,"39,083.05"
23,GARFIELD,1180,ROARING FORK RE-1,347.20,"49,497.36"
23,GARFIELD,1195,GARFIELD RE-2,261.51,"43,584.59"
23,GARFIELD,1220,GARFIELD 16,61.34,"46,103.08"
24,GILPIN,1330,GILPIN COUNTY RE-1,34.59,"42,603.78"
25,GRAND,1340,WEST GRAND 1-JT.,36.88,"40,469.05"
25,GRAND,1350,EAST GRAND 2,97.53,"45,708.87"
26,GUNNISON,1360,GUNNISON WATERSHED RE1J,126.57,"45,779.31"
27,HINSDALE,1380,HINSDALE COUNTY RE 1,13.92,"35,318.82"
28,HUERFANO,1390,HUERFANO RE-1,39.48,"33,639.65"
28,HUERFANO,1400,LA VETA RE-2,21.77,"38,449.13"
29,JACKSON,1410,NORTH PARK R-1 ,22.03,"40,098.86"
30,JEFFERSON,1420,JEFFERSON COUNTY R-1,"4,787.25","54,922.87"
31,KIOWA,1430,EADS RE-1,18.08,"35,880.23"
31,KIOWA,1440,PLAINVIEW RE-2,10.42,"31,235.25"
32,KIT CARSON,1450,ARRIBA-FLAGLER C-20,17.17,"38,173.86"
32,KIT CARSON,1460,HI-PLAINS R-23,16.87,"35,282.25"
32,KIT CARSON,1480,STRATTON R-4,18.89,"31,399.98"
32,KIT CARSON,1490,BETHUNE R-5,14.28,"38,514.78"
32,KIT CARSON,1500,BURLINGTON RE-6J,50.80,"34,623.47"
33,LAKE,1510,LAKE COUNTY R-1,53.31,"37,892.05"
34,LA PLATA,1520,DURANGO 9-R,291.89,"48,974.67"
34,LA PLATA,1530,BAYFIELD 10 JT-R,91.85,"46,092.55"
34,LA PLATA,1540,IGNACIO 11 JT,65.61,"40,062.87"
35,LARIMER,1550,POUDRE R-1,"1,714.65","53,383.59"
35,LARIMER,1560,THOMPSON R2-J,868.40,"48,748.07"
35,LARIMER,1570,ESTES PARK R-3,81.47,"46,690.86"
36,LAS ANIMAS,1580,TRINIDAD 1,55.23,"45,328.57"
36,LAS ANIMAS,1590,PRIMERO REORGANIZED 2,17.83,"40,647.94"
36,LAS ANIMAS,1600,HOEHNE REORGANIZED 3,21.33,"48,644.68"
36,LAS ANIMAS,1620,AGUILAR REORGANIZED 6,13.25,"37,428.24"
36,LAS ANIMAS,1750,BRANSON REORGANIZED 82,29.89,"38,999.86"
36,LAS ANIMAS,1760,KIM REORGANIZED 88,9.73,"28,477.99"
37,LINCOLN,1780,GENOA-HUGO C113,18.72,"36,546.40"
37,LINCOLN,1790,LIMON RE-4J,32.13,"35,917.16"
37,LINCOLN,1810,KARVAL RE-23,8.17,"33,804.46"
38,LOGAN,1828,VALLEY RE-1,147.62,"39,346.35"
38,LOGAN,1850,FRENCHMAN RE-3,19.23,"39,255.99"
38,LOGAN,1860,BUFFALO RE-4J,21.81,"41,987.86"
38,LOGAN,1870,PLATEAU RE-5,18.58,"38,012.51"
39,MESA,1980,DE BEQUE 49JT,17.30,"43,079.73"
39,MESA,1990,PLATEAU VALLEY 50,31.23,"42,053.54"
39,MESA,2000,MESA COUNTY VALLEY 51,"1,276.32","48,269.11"
40,MINERAL,2010,CREEDE SCHOOL DISTRICT,10.92,"40,145.86"
41,MOFFAT,2020,MOFFAT COUNTY RE:NO 1,129.53,"45,480.11"
42,MONTEZUMA,2035,MONTEZUMA-CORTEZ RE-1,156.06,"37,561.03"
42,MONTEZUMA,2055,DOLORES RE-4A,53.60,"39,462.40"
42,MONTEZUMA,2070,MANCOS RE-6,36.45,"35,447.46"
43,MONTROSE,2180,MONTROSE COUNTY RE-1J,354.14,"46,418.59"
43,MONTROSE,2190,WEST END RE-2,23.39,"38,677.83"
44,MORGAN,2395,BRUSH RE-2(J),91.32,"38,347.29"
44,MORGAN,2405,FORT MORGAN RE-3,200.17,"41,266.97"
44,MORGAN,2505,WELDON VALLEY RE-20(J),17.11,"35,175.67"
44,MORGAN,2515,WIGGINS RE-50(J),36.71,"38,625.79"
45,OTERO,2520,EAST OTERO R-1,76.27,"38,316.03"
45,OTERO,2530,ROCKY FORD R-2,58.57,"36,353.93"
45,OTERO,2535,MANZANOLA 3J,16.97,"37,742.23"
45,OTERO,2540,FOWLER R-4J,41.78,"30,356.61"
45,OTERO,2560,CHERAW 31,19.67,"35,960.32"
45,OTERO,2570,SWINK 33,27.34,"38,561.08"
46,OURAY,2580,OURAY R-1,25.66,"45,805.44"
46,OURAY,2590,RIDGWAY R-2,30.64,"44,698.31"
47,PARK,2600,PLATTE CANYON 1,63.35,"43,254.89"
47,PARK,2610,PARK COUNTY RE-2,41.07,"39,397.55"
48,PHILLIPS,2620,HOLYOKE RE-1J,44.93,"38,279.05"
48,PHILLIPS,2630,HAXTUN RE-2J,25.58,"38,552.06"
49,PITKIN,2640,ASPEN 1,136.97,"56,776.36"
50,PROWERS,2650,GRANADA RE-1,19.23,"38,565.54"
50,PROWERS,2660,LAMAR RE-2,104.71,"40,386.27"
50,PROWERS,2670,HOLLY RE-3,23.89,"35,777.46"
50,PROWERS,2680,WILEY RE-13 JT,23.19,"33,105.80"
51,PUEBLO,2690,PUEBLO CITY 60,"1,039.47","45,459.08"
51,PUEBLO,2700,PUEBLO COUNTY 70,485.78,"46,781.74"
52,RIO BLANCO,2710,MEEKER RE1,39.07,"46,503.81"
52,RIO BLANCO,2720,RANGELY RE-4,34.18,"37,905.55"
53,RIO GRANDE,2730,DEL NORTE C-7,37.07,"37,490.96"
53,RIO GRANDE,2740,MONTE VISTA C-8,77.61,"38,668.35"
53,RIO GRANDE,2750,SARGENT RE-33J,30.77,"36,769.70"
54,ROUTT,2760,HAYDEN RE-1,36.55,"47,377.71"
54,ROUTT,2770,STEAMBOAT SPRINGS RE-2,171.64,"52,915.34"
54,ROUTT,2780,SOUTH ROUTT RE 3,32.51,"41,183.33"
55,SAGUACHE,2790,MOUNTAIN VALLEY RE 1,17.23,"30,022.58"
55,SAGUACHE,2800,MOFFAT 2,22.41,"30,223.10"
55,SAGUACHE,2810,CENTER 26 JT,47.59,"37,771.11"
56,SAN JUAN,2820,SILVERTON 1,12.15,"38,374.97"
57,SAN MIGUEL,2830,TELLURIDE R-1,73.30,"55,856.28"
57,SAN MIGUEL,2840,NORWOOD R-2J,22.73,"42,448.26"
58,SEDGWICK,2862,JULESBURG RE-1,36.50,"42,650.33"
58,SEDGWICK,2865,PLATTE VALLEY RE-3,16.25,"35,180.82"
59,SUMMIT,3000,SUMMIT RE-1,199.54,"55,711.54"
60,TELLER,3010,CRIPPLE CREEK-VICTOR RE-1,27.15,"38,179.58"
60,TELLER,3020,WOODLAND PARK RE-2,147.78,"41,995.46"
61,WASHINGTON,3030,AKRON R-1,35.12,"30,992.38"
61,WASHINGTON,3040,ARICKAREE R-2,14.56,"34,947.55"
61,WASHINGTON,3050,OTIS R-3,24.85,"27,813.96"
61,WASHINGTON,3060,LONE STAR 101,17.84,"28,469.84"
61,WASHINGTON,3070,WOODLIN R-104,11.49,"27,901.05"
62,WELD,3080,WELD COUNTY RE-1,135.65,"46,176.17"
62,WELD,3085,EATON RE-2,115.78,"46,172.54"
62,WELD,3090,KEENESBURG RE-3(J),139.22,"42,009.94"
62,WELD,3100,WINDSOR RE-4,311.88,"48,172.18"
62,WELD,3110,JOHNSTOWN-MILLIKEN RE-5J,192.64,"50,605.44"
62,WELD,3120,GREELEY 6,"1,208.65","48,026.41"
62,WELD,3130,PLATTE VALLEY RE-7,80.75,"47,595.68"
62,WELD,3140,WELD COUNTY S/D RE-8,143.90,"46,556.21"
62,WELD,3145,AULT-HIGHLAND RE-9,59.83,"39,934.92"
62,WELD,3146,BRIGGSDALE RE-10,18.09,"39,557.91"
62,WELD,3147,PRAIRIE RE-11,15.04,"43,190.65"
62,WELD,3148,PAWNEE RE-12,19.23,"30,386.79"
63,YUMA,3200,YUMA 1,66.43,"41,263.71"
63,YUMA,3210,WRAY RD-2,49.50,"36,815.72"
63,YUMA,3220,IDALIA RJ-3,15.48,"38,644.21"
63,YUMA,3230,LIBERTY J-4,6.05,"38,753.16"
98,NONE,8001,CHARTER SCHOOL INSTITUTE,791.81,"39,656.13"
98,NONE,9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,36.80,"48,145.67"
90,COLORADO BOCS,9025,EAST CENTRAL BOCES,10.34,"29,135.29"
90,COLORADO BOCS,9030,MOUNTAIN BOCES,135.14,"48,821.23"
90,COLORADO BOCS,9035,CENTENNIAL BOCES,16.69,"31,164.32"
90,COLORADO BOCS,9040,NORTHEAST BOCES,2.69,"40,154.18"
90,COLORADO BOCS,9045,PIKES PEAK BOCES,23.06,"39,704.41"
90,COLORADO BOCS,9050,SAN JUAN BOCES,4.74,"41,331.52"
90,COLORADO BOCS,9055,SAN LUIS VALLEY BOCES,14.85,"31,822.44"
90,COLORADO BOCS,9060,SOUTH CENTRAL BOCES,6.28,"23,652.89"
90,COLORADO BOCS,9075,SOUTHEASTERN BOCES,0.98,"32,315.35"
90,COLORADO BOCS,9095,NORTHWEST COLO BOCES,1.00,"44,700.00"
90,COLORADO BOCS,9125,RIO BLANCO BOCES,7.04,"44,630.22"
90,COLORADO BOCS,9130,EXPEDITIONARY BOCES,33.15,"37,166.23"
90,COLORADO BOCS,9145,UNCOMPAHGRE BOCS,2.01,"32,977.52"
90,COLORADO BOCS,9150,SANTA FE TRAIL BOCES,3.42,"29,920.42"
90,COLORADO BOCS,9165,UTE PASS BOCES,2.12,"44,688.32"
90,COLORADO BOCS,9170,COLORADO DIGITAL BOCES,78.81,"36,354.04"
,,STATE TOTALS,,"51,801.54","51,204.37"
