County Code,County Name,District Code,District Name,School  Code,School Name,PK-12 Student Enrollment,Teacher FTE,Pupil/Teacher Ratio,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,4474,JORDAHL ELEMENTARY SCHOOL,503,29.85,16.85,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,6138,MOUNTAINSIDE ELEMENTARY SCHOOL,432,33.00,13.09,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,6338,PATRIOT ELEMENTARY SCHOOL,629,41.70,15.08,,,,,,,,,,,,,
21,EL PASO,1000,FOUNTAIN 8,9610,WEIKEL ELEMENTARY SCHOOL,767,46.00,16.67,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,0269,ACHIEVE ONLINE,237,14.00,16.93,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,0452,AUDUBON ELEMENTARY SCHOOL,383,20.40,18.77,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,0517,ACADEMY FOR ADVANCED AND CREATIVE LEARNING,305,21.19,14.39,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,0871,THE BIJOU SCHOOL,119,7.50,15.88,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,1032,BRISTOL ELEMENTARY SCHOOL,253,15.65,16.17,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,1126,BUENA VISTA ELEMENTARY SCHOOL,199,15.25,13.05,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,1340,CARVER ELEMENTARY SCHOOL,333,24.60,13.54,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,1613,CHIPETA ELEMENTARY SCHOOL,499,27.40,18.21,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,1616,CIVA CHARTER ACADEMY,185,14.14,13.08,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,1625,MCAULIFFE ELEMENTARY,575,30.90,18.61,,,,,,,,,,,,,
21,EL PASO,1010,COLORADO SPRINGS 11,1798,COLUMBIA ELEMENTARY SCHOOL,319,19.05,16.75,,,,,,,,,,,,,
