Organization Code,Organization Name,Course Code,Course Name,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic or Latino Count,White Count,Native Hawaiian or Other Pacific Islander Count,Two Or More Races Count,Male Count,Female Count,Total Student Count
0030,ADAMS COUNTY 14,33,U.S. History,0,0,1,67,16,0,1,32,53,85
0030,ADAMS COUNTY 14,34,World History,0,0,1,77,14,0,0,42,50,92
0030,ADAMS COUNTY 14,35,Chinese Language and Culture,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,36,Japanese Language and Culture,0,0,0,0,0,0,0,0,0,0
0030,ADAMS COUNTY 14,TOTAL,DISTRICT TOTALS,0,7,6,455,71,0,3,223,319,542
0040,SCHOOL DISTRICT 27J,01,Art History,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,02,Biology,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,03,Calculus AB,1,5,0,9,26,0,3,27,17,44
0040,SCHOOL DISTRICT 27J,04,Calculus BC,0,0,0,1,0,0,0,0,1,1
0040,SCHOOL DISTRICT 27J,05,Chemistry,0,0,0,5,7,0,1,6,7,13
0040,SCHOOL DISTRICT 27J,06,Computer Science A,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,07,Computer Science AB,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,08,Economics: Macro,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,09,Economics: Micro,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,10,English Language and Composition,1,10,5,83,109,0,5,65,148,213
0040,SCHOOL DISTRICT 27J,11,English Literature and Composition,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,12,Environmental Science,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,13,European History,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,14,French Language,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,15,French Literature,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,16,German Language,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,17,Government and Politics: Comparative,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,18,Government and Politics: United States,0,0,0,0,1,0,0,1,0,1
0040,SCHOOL DISTRICT 27J,19,Human Geography,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,20,Latin Literature,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,21,Latin: Vergil,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,22,Music Theory,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,23,Physics B,0,1,0,5,9,0,3,16,2,18
0040,SCHOOL DISTRICT 27J,24,Physics C: Electricity and Magnetism,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,25,Physics C: Mechanics,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,26,Psychology,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,27,Spanish Language,0,0,0,20,0,0,0,9,11,20
0040,SCHOOL DISTRICT 27J,28,Spanish Literature,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,29,Statistics,0,0,0,6,5,0,0,6,5,11
0040,SCHOOL DISTRICT 27J,30,Studio Art: 2-D Design,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,31,Studio Art: 3-D Design,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,32,Studio Art: Drawing,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,33,U.S. History,0,5,1,26,34,0,3,33,36,69
0040,SCHOOL DISTRICT 27J,34,World History,1,3,1,44,66,0,6,50,71,121
0040,SCHOOL DISTRICT 27J,35,Chinese Language and Culture,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,36,Japanese Language and Culture,0,0,0,0,0,0,0,0,0,0
0040,SCHOOL DISTRICT 27J,TOTAL,DISTRICT TOTALS,3,24,7,199,257,0,21,213,298,511
0050,BENNETT 29J,01,Art History,0,0,0,0,0,0,0,0,0,0
