COUNTY CODE,COUNTY NAME,DISTRICT CODE,DISTRICT NAME,K-12 COUNT,FREE LUNCH,REDUCED LUNCH,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
50,PROWERS,2660,LAMAR RE-2,"1,453",850,106,497,956,58.50%,7.30%,65.80%
50,PROWERS,2670,HOLLY RE-3,269,158,38,73,196,58.70%,14.10%,72.90%
50,PROWERS,2680,WILEY RE-13 JT,245,84,39,122,123,34.30%,15.90%,50.20%
50,PROWERS,TOTAL,,"2,162","1,183",208,771,"1,391",54.70%,9.60%,64.30%
51,PUEBLO,2690,PUEBLO CITY 60,"16,772","10,457","1,034","5,217","11,491",62.30%,6.20%,68.50%
51,PUEBLO,2700,PUEBLO COUNTY 70,"9,299","3,413",738,"5,131","4,151",36.70%,7.90%,44.60%
51,PUEBLO,TOTAL,,"26,071","13,870","1,772","10,348","15,642",53.20%,6.80%,60.00%
52,RIO BLANCO,2710,MEEKER RE1,645,175,46,423,221,27.10%,7.10%,34.30%
52,RIO BLANCO,2720,RANGELY RE-4,504,165,13,326,178,32.70%,2.60%,35.30%
52,RIO BLANCO,TOTAL,,"1,149",340,59,749,399,29.60%,5.10%,34.70%
53,RIO GRANDE,2730,DEL NORTE C-7,426,211,63,152,274,49.50%,14.80%,64.30%
53,RIO GRANDE,2740,MONTE VISTA C-8,"1,140",679,134,326,813,59.60%,11.80%,71.30%
53,RIO GRANDE,2750,SARGENT RE-33J,406,100,48,258,148,24.60%,11.80%,36.50%
53,RIO GRANDE,TOTAL,,"1,972",990,245,736,"1,235",50.20%,12.40%,62.60%
54,ROUTT,2760,HAYDEN RE-1,370,105,39,225,144,28.40%,10.50%,38.90%
54,ROUTT,2770,STEAMBOAT SPRINGS RE-2,"2,516",383,96,"2,033",479,15.20%,3.80%,19.00%
54,ROUTT,2780,SOUTH ROUTT RE 3,326,110,30,185,140,33.70%,9.20%,42.90%
54,ROUTT,TOTAL,,"3,212",598,165,"2,443",763,18.60%,5.10%,23.80%
55,SAGUACHE,2790,MOUNTAIN VALLEY RE 1,119,73,5,41,78,61.30%,4.20%,65.50%
55,SAGUACHE,2800,MOFFAT 2,192,143,18,31,161,74.50%,9.40%,83.90%
55,SAGUACHE,2810,CENTER 26 JT,602,508,46,48,554,84.40%,7.60%,92.00%
55,SAGUACHE,TOTAL,,913,724,69,120,793,79.30%,7.60%,86.90%
56,SAN JUAN,2820,SILVERTON 1,64,34,7,23,41,53.10%,10.90%,64.10%
56,SAN JUAN,TOTAL,,64,34,7,23,41,53.10%,10.90%,64.10%
57,SAN MIGUEL,2830,TELLURIDE R-1,895,156,66,673,222,17.40%,7.40%,24.80%
57,SAN MIGUEL,2840,NORWOOD R-2J,245,95,45,105,140,38.80%,18.40%,57.10%
57,SAN MIGUEL,TOTAL,,"1,140",251,111,778,362,22.00%,9.70%,31.80%
58,SEDGWICK,2862,JULESBURG RE-1,628,233,106,288,339,37.10%,16.90%,54.00%
58,SEDGWICK,2865,REVERE SCHOOL DISTRICT,132,61,23,48,84,46.20%,17.40%,63.60%
58,SEDGWICK,TOTAL,,760,294,129,336,423,38.70%,17.00%,55.70%
59,SUMMIT,3000,SUMMIT RE-1,"3,346",890,353,"2,099","1,243",26.60%,10.50%,37.10%
59,SUMMIT,TOTAL,,"3,346",890,353,"2,099","1,243",26.60%,10.50%,37.10%
60,TELLER,3010,CRIPPLE CREEK-VICTOR RE-1,325,173,35,116,208,53.20%,10.80%,64.00%
60,TELLER,3020,WOODLAND PARK RE-2,"2,396",571,189,"1,625",760,23.80%,7.90%,31.70%
60,TELLER,TOTAL,,"2,721",744,224,"1,741",968,27.30%,8.20%,35.60%
61,WASHINGTON,3030,AKRON R-1,335,116,61,158,177,34.60%,18.20%,52.80%
61,WASHINGTON,3040,ARICKAREE R-2,98,31,22,44,53,31.60%,22.40%,54.10%
61,WASHINGTON,3050,OTIS R-3,223,90,36,95,126,40.40%,16.10%,56.50%
61,WASHINGTON,3060,LONE STAR 101,103,35,8,60,43,34.00%,7.80%,41.70%
61,WASHINGTON,3070,WOODLIN R-104,96,43,5,46,48,44.80%,5.20%,50.00%
61,WASHINGTON,TOTAL,,855,315,132,403,447,36.80%,15.40%,52.30%
62,WELD,3080,WELD COUNTY RE-1,"1,870",873,215,781,"1,088",46.70%,11.50%,58.20%
62,WELD,3085,EATON RE-2,"1,918",498,194,"1,226",692,26.00%,10.10%,36.10%
62,WELD,3090,WELD COUNTY SCHOOL DISTRICT RE-3J,"2,219",858,243,"1,117","1,101",38.70%,11.00%,49.60%
62,WELD,3100,WINDSOR RE-4,"5,368",608,239,"4,511",847,11.30%,4.50%,15.80%
62,WELD,3110,JOHNSTOWN-MILLIKEN RE-5J,"3,653",763,304,"2,569","1,067",20.90%,8.30%,29.20%
62,WELD,3120,GREELEY 6,"21,499","11,924","2,256","7,229","14,180",55.50%,10.50%,66.00%
62,WELD,3130,PLATTE VALLEY RE-7,"1,110",406,96,608,502,36.60%,8.60%,45.20%
62,WELD,3140,WELD COUNTY S/D RE-8,"2,178","1,381",223,568,"1,604",63.40%,10.20%,73.60%
62,WELD,3145,AULT-HIGHLAND RE-9,829,296,77,456,373,35.70%,9.30%,45.00%
62,WELD,3146,BRIGGSDALE RE-10,161,45,10,106,55,28.00%,6.20%,34.20%
62,WELD,3147,PRAIRIE RE-11,193,24,24,145,48,12.40%,12.40%,24.90%
62,WELD,3148,PAWNEE RE-12,84,27,9,48,36,32.10%,10.70%,42.90%
62,WELD,TOTAL,,"41,082","17,703","3,890","19,364","21,593",43.10%,9.50%,52.60%
63,YUMA,3200,YUMA 1,774,414,85,275,499,53.50%,11.00%,64.50%
